produto;marca;loja;data;quantidade;valor
smartphone;Samsung;Ibirapuera;19/9/2023;28;1879.99
smartphone;Xiaomi;Ibirapuera;19/9/2023;26;1650.48
smartphone;Samsung;Analia Franco;19/9/2023;27;1879.99
smartphone;Xiaomi;Analia Franco;19/9/2023;5;1650.48
smartphone;Samsung;Eldorado;19/9/2023;18;1879.99
smartphone;Xiaomi;Eldorado;19/9/2023;12;1650.48
smart TV;LG;Ibirapuera;19/9/2023;15;2500.0
smart TV;Samsung;Ibirapuera;19/9/2023;5;2879.99
smart TV;LG;Analia Franco;19/9/2023;23;2500.0
smart TV;Samsung;Analia Franco;19/9/2023;30;2879.99
smart TV;LG;Eldorado;19/9/2023;28;2500.0
smart TV;Samsung;Eldorado;19/9/2023;30;2879.99
notebook;Acer;Ibirapuera;19/9/2023;3;3440.78
notebook;Asus;Ibirapuera;19/9/2023;17;3250.87
notebook;Acer;Analia Franco;19/9/2023;28;3440.78
notebook;Asus;Analia Franco;19/9/2023;12;3250.87
notebook;Acer;Eldorado;19/9/2023;27;3440.78
notebook;Asus;Eldorado;19/9/2023;28;3250.87
geladeira;Brastemp;Ibirapuera;19/9/2023;24;4500
geladeira;Electrolux;Ibirapuera;19/9/2023;5;5000
geladeira;Brastemp;Analia Franco;19/9/2023;18;4500
geladeira;Electrolux;Analia Franco;19/9/2023;16;5000
geladeira;Brastemp;Eldorado;19/9/2023;4;4500
geladeira;Electrolux;Eldorado;19/9/2023;29;5000
lavadora;LG;Ibirapuera;19/9/2023;10;3800
lavadora;Brastemp;Ibirapuera;19/9/2023;16;2306
lavadora;LG;Analia Franco;19/9/2023;18;3800
lavadora;Brastemp;Analia Franco;19/9/2023;10;2306
lavadora;LG;Eldorado;19/9/2023;4;3800
lavadora;Brastemp;Eldorado;19/9/2023;17;2306
console;Sony;Ibirapuera;19/9/2023;5;3500
console;Nintendo;Ibirapuera;19/9/2023;11;2000
console;Sony;Analia Franco;19/9/2023;13;3500
console;Nintendo;Analia Franco;19/9/2023;3;2000
console;Sony;Eldorado;19/9/2023;4;3500
console;Nintendo;Eldorado;19/9/2023;11;2000
smartphone;Samsung;Ibirapuera;9/7/2023;15;1879.99
smartphone;Xiaomi;Ibirapuera;9/7/2023;10;1650.48
smartphone;Samsung;Analia Franco;9/7/2023;3;1879.99
smartphone;Xiaomi;Analia Franco;9/7/2023;3;1650.48
smartphone;Samsung;Eldorado;9/7/2023;13;1879.99
smartphone;Xiaomi;Eldorado;9/7/2023;19;1650.48
smart TV;LG;Ibirapuera;9/7/2023;16;2500.0
smart TV;Samsung;Ibirapuera;9/7/2023;1;2879.99
smart TV;LG;Analia Franco;9/7/2023;14;2500.0
smart TV;Samsung;Analia Franco;9/7/2023;24;2879.99
smart TV;LG;Eldorado;9/7/2023;29;2500.0
smart TV;Samsung;Eldorado;9/7/2023;6;2879.99
notebook;Acer;Ibirapuera;9/7/2023;1;3440.78
notebook;Asus;Ibirapuera;9/7/2023;19;3250.87
notebook;Acer;Analia Franco;9/7/2023;28;3440.78
notebook;Asus;Analia Franco;9/7/2023;15;3250.87
notebook;Acer;Eldorado;9/7/2023;20;3440.78
notebook;Asus;Eldorado;9/7/2023;2;3250.87
geladeira;Brastemp;Ibirapuera;9/7/2023;27;4500
geladeira;Electrolux;Ibirapuera;9/7/2023;14;5000
geladeira;Brastemp;Analia Franco;9/7/2023;29;4500
geladeira;Electrolux;Analia Franco;9/7/2023;13;5000
geladeira;Brastemp;Eldorado;9/7/2023;28;4500
geladeira;Electrolux;Eldorado;9/7/2023;21;5000
lavadora;LG;Ibirapuera;9/7/2023;15;3800
lavadora;Brastemp;Ibirapuera;9/7/2023;14;2306
